File,Participants,Negotiation Style Theme
mock_negotiation_transcript_1.docx,Jessica & John,Original template - balanced negotiation
mock_negotiation_transcript_2.docx,Timothy & Sarah,Over-talkative distributor; patient buyer
mock_negotiation_transcript_3.docx,Marcus & Linda,Assertive vs assertive; direct exchange
mock_negotiation_transcript_4.docx,David & Michelle,Concession-prone distributor; firm buyer
mock_negotiation_transcript_5.docx,Rachel & Kevin,Analytical/data-driven distributor; skeptical buyer
mock_negotiation_transcript_6.docx,Brian & Angela,Passive distributor; dominant buyer
mock_negotiation_transcript_7.docx,Steven & Patricia,Collaborative/win-win approach
mock_negotiation_transcript_8.docx,Carlos & Jennifer,Emotional distributor; calm buyer
mock_negotiation_transcript_9.docx,Diana & Robert,Detail-oriented distributor; impatient buyer
mock_negotiation_transcript_10.docx,Amanda & Chris,Confident distributor; uncertain buyer
mock_negotiation_transcript_11.docx,Nathan & Emily,Rushed distributor; methodical buyer
